game_name,mentions,users,mapped_rankings
Super Boss Monster,1,zekewest,8
Super Hack Override,1,zekewest,2
Super Kawaii Pets,1,zekewest,6
Super Mario: Level Up!,1,zekewest,7
Super Snipers,1,zekewest,8
Super Squad High,1,zekewest,4
Super-Skill Pinball Holiday Special,1,zekewest,7
Sushi Go! 10th Anniversary,1,zekewest,7
Sushi Go!: Spin Some for Dim Sum,1,zekewest,4
Switchbacks,1,zekewest,6
Symphony No. 9,1,zekewest,6
T.I.M.E,1,miaquattro,7
Taiwan Night Market,1,kaizendomingo_70_61,7
Tales from the Red Dragon Inn,1,zekewest,8
Tales of Eventyr,1,zekewest,7
Tales of Evil,1,zekewest,5
Talisman: 5th Edition,1,zekewest,9
Talisman: Batman – Super Villain Edition,1,zekewest,5
Tambuzi,1,zekewest,4
Tammany,1,zekewest,5
Tanares Adventures,1,zekewest,9
Tangram City,1,zekewest,6
Tanks: Panthers vs. Sherman,1,zekewest,6
Tanto Cuore: Memento Mori – Twilight Manor,1,zekewest,6
Tasso Banana,1,zekewest,7
Tavern Masters,1,zekewest,3
Taverns and Dragons,1,zekewest,8
Team Up!,1,zekewest,6
Team3,1,zekewest,9
Tear-able Quest,1,zekewest,5
Techlandia,1,zekewest,5
Techno Bowl,1,zekewest,8
TEDOKU,1,zekewest,8
Teenage Mutant Ninja Turtles: Change is Constant,1,zekewest,9
Teeter Tower,1,zekewest,6
Terrible Monster,1,zekewest,8
That Old Wallpaper,1,zekewest,6
