game_name,stars,mapped_ranking
Pig Puzzle,3,6
Pop The Box,3,6
Pucket,3,6
Purrrlock Holmes: Furriarty’s Trail,3,6
Quixx,3,6
Quoridor Pac-Man,3,6
Raid & Trade,3,6
Road Kill Rally,3,6
Roadkill,3,6
Run! Run! Run!,3,6
Runemasters,3,6
Salem,3,6
Sand Art,3,6
Scripts & Scribes: The Dice Game,3,6
Shadowgate: The Living Castle,3,6
Shahrazad,3,6
Shifting Realms,3,6
Show and Tile,3,6
Silver and Gold,3,6
Skyline,3,6
Space Marine – The Board Game,3,6
Space Marine Adventures: Rise of the Orks,3,6
Space Marine Adventures: Tyranid Attack!,3,6
Spy x Family: Mission for Peanuts,3,6
Squadro,3,6
St. Patrick,3,6
Star Realms: Rise of Empire,3,6
Star Trek: Discovery – Black Alert,3,6
Star Wars Rivals,3,6
Stranger Things Dungeons & Dragons Starter Set,3,6
Sunny Day Sardines,3,6
Super Kawaii Pets,3,6
Switchbacks,3,6
Symphony No. 9,3,6
Tangram City,3,6
Tanks: Panthers vs. Sherman,3,6
Tanto Cuore: Memento Mori – Twilight Manor,3,6
Team Up!,3,6
Teeter Tower,3,6
That Old Wallpaper,3,6
The Binding of Isaac: Four Souls Requiem,3,6
The Captain Is Dead: Dangerous Planet,3,6
The Gardens,3,6
The Key: Escape from Strongwall Prison,3,6
The Legends of Andor,3,6
The Ming Voyages,3,6
The Potion,3,6
The Table is Lava,3,6
This War of Mine,3,6
Those Pesky Humans,3,6
Titan Race,3,6
Titans Tactics,3,6
Tokaido 10th Anniversary Edition,3,6
Trail Story: America,3,6
TRND,3,6
Tusk! Surviving the Ice Age,3,6
Twenty One,3,6
Two Base Stations,3,6
UBOOT,3,6
Vinyl: Jukebox,3,6
Warcrow Adventures,3,6
Warhammer 40k: Combat Arena – Lair of the Beast,3,6
Warhammer Age of Sigmar: Crypt Hunters,3,6
Weirdwood Manor,3,6
Windup War,3,6
Yogi,3,6
3 Laws of Robotics,2.5,5
3-4 Headed Monster,2.5,5
3000 Scoundrels,2.5,5
Aerodome: Rising Horizons,2.5,5
Apocrypha,2.5,5
Archmage,2.5,5
Back to the Future: Outatime,2.5,5
Bad Beets,2.5,5
Bad Neighbors,2.5,5
Beatdown: Streets of Justice,2.5,5
Beer IQ,2.5,5
Belle of the Ball,2.5,5
Big Dig,2.5,5
Black Hat,2.5,5
Blueshift,2.5,5
Borgata,2.5,5
Cantankerous Cats,2.5,5
Carthago,2.5,5
Chrono Corsairs,2.5,5
Color Field,2.5,5
Conquest of Speros,2.5,5
Cursed Lands: Morgulia,2.5,5
Cyber Pet Quest,2.5,5
Damage Report,2.5,5
Dark Souls: The Board Game – Painted World of Ariamis,2.5,5
DC Forever,2.5,5
Dice Manor,2.5,5
Difference,2.5,5
Discover: Lands Unknown,2.5,5
Disney Princess See the Story,2.5,5
Divinus,2.5,5
Dragon Ball Z: Perfect Cell,2.5,5
Dune: House Secrets,2.5,5
Dungeon Draft,2.5,5
Dungeons & Dragons: Builders of Baldur’s Gate,2.5,5
Dying Message,2.5,5
E.T. The Extra-Terrestrial: Light Years from Home Game,2.5,5
Express Route,2.5,5
Farmageddon,2.5,5
Fluttering Souls,2.5,5
Folded Wishes,2.5,5
Food Truck Champion,2.5,5
Football Highlights 2052,2.5,5
Going Concern,2.5,5
Greece Lightning,2.5,5
Guild Academies of Valeria,2.5,5
Head of Mousehold,2.5,5
Hippo,2.5,5
Humble Tea Party,2.5,5
"I Say, Holmes!",2.5,5
Incorporated,2.5,5
Ink Monsters,2.5,5
Jewel Thief,2.5,5
Jinja,2.5,5
Judge Dredd: The Cursed Earth,2.5,5
Kingsport Festival: The Card Game,2.5,5
Layers,2.5,5
Longboard,2.5,5
Lunar Skyline,2.5,5
Marvel Battleworld,2.5,5
Master of Wills,2.5,5
Microfilms,2.5,5
Missile Command,2.5,5
Moments,2.5,5
Moonflight,2.5,5
Nerdy Inventions,2.5,5
Nights of Fire: Battle for Budapest,2.5,5
Nuked,2.5,5
Parks Memories,2.5,5
Pittsburg 68,2.5,5
Pizza Party Throwdown,2.5,5
Political Animals,2.5,5
Revolution of 1828,2.5,5
Roll Camera!,2.5,5
Sarah’s Vision,2.5,5
Shadow Rivals,2.5,5
Shadowed Kingdom,2.5,5
Sixpence Bakery,2.5,5
Sleeping Queens 2: The Rescue,2.5,5
Son of Esker,2.5,5
Starfinder: Pirates of Skydock,2.5,5
Stick to Colours,2.5,5
Tales of Evil,2.5,5
Talisman: Batman – Super Villain Edition,2.5,5
Tammany,2.5,5
Tear-able Quest,2.5,5
Techlandia,2.5,5
The Dark Quarter,2.5,5
The Goonies Adventure Card Game,2.5,5
The Last Bottle of Rum,2.5,5
The Path of Adventurers,2.5,5
The Silver River,2.5,5
Theomachy,2.5,5
They Who Were 8,2.5,5
Time Breaker,2.5,5
Time Division,2.5,5
Tokyo Coin Laundry,2.5,5
Towers of Äm’härb,2.5,5
Train Heist,2.5,5
Truck Off,2.5,5
Ultimate Treehouse,2.5,5
Unrest,2.5,5
Upkeep,2.5,5
Vineyard,2.5,5
Vivid: Memories,2.5,5
Warhammer Quest Lost Relics,2.5,5
Western Legends Showdown,2.5,5
Wizards Wanted,2.5,5
Wraith and the Giants,2.5,5
Zombie Princess and the Enchanted Maze,2.5,5
Zoo Ball,2.5,5
Age of Dirt,2,4
Bad Maps,2,4
Blob Lobber,2,4
Blossoms,2,4
Casting Shadows,2,4
Castle Raisers,2,4
Coral Islands,2,4
Cross Hares: Testing Ground,2,4
Danger Park,2,4
Drop Squad: The Escape!,2,4
